RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =         2660     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
  204 1124     0     0  con    5  3.5D+00  1.0D-01  1.039D-03        NaN
  205 1134     0     0  con    9  2.7D-01  5.6D-02  1.268D-03        NaN
  206 1139     0     0  con    4  2.1D+00  1.5D-01  1.290D-03        NaN
  207 1155     0     0  con   15  7.7D+00  2.3D-01  1.186D-03        NaN
  208 1180     1     0  ---    4  7.5D-01  3.4D-03  1.169D-03        NaN
  209 1186     0     0  con    5  1.6D+01  4.5D-02  9.349D-04        NaN
  210 1203     0     0  con   16  3.4D-01  8.8D-03  9.195D-04        NaN
  211 1209     0     0  con    5  1.6D+01  2.1D-02  8.296D-04        NaN
  212 1216     0     0  con    6  1.6D+01  3.3D-01  2.249D-03        NaN
  213 1222     0     0  con    5  3.6D+00  5.3D-01  2.668D-03        NaN
  214 1227     0     0  con    4  3.6D-01  8.3D-02  2.403D-03        NaN
  215 1232     0     0  con    4  5.3D+00  6.9D-02  9.641D-04        NaN
  216 1238     0     0  con    5  3.3D+00  7.5D-01  1.148D-03        NaN
  217 1256     0     0  con   17  1.4D+00  2.0D-01  1.357D-03        NaN
  218 1271     0     0  con   14  2.3D+00  8.6D-02  8.093D-04        NaN
  219 1289     0     0  con   17  1.3D+00  6.9D-02  1.016D-03        NaN
  220 1293     0     0  con    3  1.1D+00  8.3D-02  1.264D-03        NaN
  221 1299     0     0  con    5  4.5D+00  8.6D-02  1.472D-03        NaN
  222 1304     0     0  con    4  7.8D-01  5.3D-02  1.161D-03        NaN
  223 1318     0     0  con   13  1.4D+00  8.5D-02  7.296D-04        NaN
  224 1324     0     0  con    5  2.6D+00  1.1D-01  5.881D-04        NaN
  225 1331     0     0  con    6  1.2D+00  1.9D-01  1.189D-03        NaN
  226 1343     0     0  con   11  2.8D+00  2.4D-01  1.302D-03        NaN
  227 1350     0     0  con    6  1.2D+00  1.8D-01  1.507D-03        NaN
  228 1369     0     0  con   18  5.6D+00  5.4D-01  1.620D-03        NaN
  229 1374     0     0  con    4  2.4D+00  6.5D-01  7.056D-04        NaN
  230 1380     0     0  con    5  3.9D+00  4.0D-01  7.978D-04        NaN
  231 1384     0     0  con    3  3.3D-01  3.5D-02  9.129D-04        NaN
  232 1389     0     0  con    4  2.3D+00  2.3D-01  8.969D-04        NaN
  233 1395     0     0  con    5  4.4D+00  1.0D-01  9.207D-04        NaN
  234 1413     0     0  con   17  1.3D+00  7.1D-02  9.396D-04        NaN
  235 1418     0     0  con    4  1.1D+00  3.9D-02  9.326D-04        NaN
  236 1424     0     0  con    5  2.8D+00  6.6D-02  8.778D-04        NaN
  237 1440     0     0  con   15  1.2D+00  8.7D-02  7.182D-04        NaN
  238 1446     0     0  con    5  3.2D+00  2.6D-01  6.976D-04        NaN
  239 1453     0     0  con    6  2.4D+00  5.8D-01  9.766D-04        NaN
